medium red,#cd0000
dark red,#8b0000
rosy brown,#bc8f8f
light rosy brown,#ffc1c1
medium rosy brown,#cd9b9b
dark rosy brown,#8b6969
royal blue,#4169e1
light royal blue,#4876ff
medium royal blue,#3a5fcd
dark royal blue,#27408b
saddle brown,#8b4513
salmon,#fa8072
light salmon,#ff8c69
medium salmon,#cd7054
dark salmon,#8b4c39
sandy brown,#f4a460
light sea green,#54ff9f
medium sea green,#43cd80
dark sea green,#2e8b57
light seashell,#fff5ee
medium seashell,#cdc5bf
dark seashell,#8b8682
sienna,#a0522d
light sienna,#ff8247
medium sienna,#cd6839
dark sienna,#8b4726
sky blue,#87ceeb
light sky blue,#87ceff
medium sky blue,#6ca6cd
dark sky blue,#4a708b
slate blue,#6a5acd
light slate blue,#836fff
medium slate blue,#6959cd
dark slate blue,#473c8b
slate gray,#708090
light slate gray,#c6e2ff
medium slate gray,#9fb6cd
dark slate gray,#6c7b8b
light snow,#fffafa
medium snow,#cdc9c9
dark snow,#8b8989
light spring green,#00ff7f
medium spring green,#00cd66
dark spring green,#008b45
steel blue,#4682b4
light steel blue,#63b8ff
medium steel blue,#4f94cd
dark steel blue,#36648b
tan,#d2b48c
light tan,#ffa54f
medium tan,#cd853f
dark tan,#8b5a2b
thistle,#d8bfd8
light thistle,#ffe1ff
medium thistle,#cdb5cd
dark thistle,#8b7b8b
light tomato,#ff6347
medium tomato,#cd4f39
dark tomato,#8b3626
turquoise,#40e0d0
light turquoise,#00f5ff
medium turquoise,#00c5cd
dark turquoise,#00868b
violet,#ee82ee
violet red,#d02090
light violet red,#ff3e96
medium violet red,#cd3278
dark violet red,#8b2252
wheat,#f5deb3
light wheat,#ffe7ba
medium wheat,#cdba96
dark wheat,#8b7e66
white,#ffffff
white smoke,#f5f5f5
yellow,#ffff00
medium yellow,#cdcd00
dark yellow,#8b8b00
yellow green,#9acd32
